#{"t_start": 1668888091.39069, "env_id": null}
r,l,t
-114.0,7,559.761195
--5,20,1003.88690-5,15.0,6,1452.609011.018.0,3,2809.595389
15.0,6,4624.98642
14.0,7,5078.433689
11.0,10,5986.114252
19.0,2,6439.102227
113.0,8,8253.958433
19.0,2,8253.987852
10.0,11,8707.455782
.0,1,8253.871848
13.0,8,8253.962842
13.0,8,8707.410464
0.0,11,6439.151641
17.0,4,6893.118517
16.0,5,7346.978632
18.9.0,12,8254.013626.016.0,5,8707.385569.0,12,8707.398172
164095
-5,20,6.362552
-10.0,2,6.383332
-10.0,16,6.53706
-5,20,6.720706
-10.0,11,6.814535
-5,20,7.016585
-10.0,8,7.085917
-5,20,7.282894
-10.0,-5,20,7.3428-5,2-5,20,7.533422
-5,20,7.723091
-10.0,3,7.746045
-5,20,7.936162
-5,20,8.124289
-5,20,8.314626
-10.0,5,8.357279
-10.0,2,8.376625
-10.0,8,8.44472
-10.0,3,8.471924
-10-5,20,8.550237
-5,20,8.727003
18.0-5,20,8.845248
11.0,10,8.950247
-5,20,9.151011
-10.0,19,9.327587
-5,20,9.534304
-10.0,12,9.649203
-10.0,7,9.719441
13.0,8,9.80255
-5,20,10.001058
-5,20,10.187121
-10.0,10,10.27831
-5,20,10.488201
-10.0,6,10.544572
-10.0,14,10.666909
-5,20,10.859628
-10.0,11,10.964673
-5,20,11.16295
-10.0,2,11.177804
-5,20,11.369394
-10.0,4,11.402123
-10.0,12,11.517411
-10.0,2,11.535071
-10.0,18,11.69696
-5,20,11.891319
-10.0,6,11.941698
-10.0,6,11.995631
-5,20,12.189503
-5,20,12.390236
14.0,7,12.462594
-10.0,8,12.548635
-10.0,8,12.631981
-5,20,12.824458
-10.0,12,12.93821
-10.0,3,12.964662
-10.0,7,13.028062
-10.0,17,13.190912
-10.0,1,13.200393
-10.0,1,13.209896
-10.0,9,13.298024
-10.0,3,13.326963
-10.0,9,13.41754
20.0,-5,20,13.602451
-10.0,8,13.6716
-10.0,10,13.772935
-10.0,4,13.810394
-10.0,1,13.8196-10.0,10,13.880007
-5,20,14.077029
-10.0,3,14.101927
-5,20,14.299316
-10.0,8,14.376627
-10.0,19,14.561905
-10.0,14,14.701811-5,20,14.851773
-10.0,3,14.881967
-10.0-5,20,15.03296-5,-5,20,15.22653-5,-10.0,17,15.38-5,20,-5,20,15.5-5,20,15.771243
-5,20,15.958685
-10.0,18,16.137327
-5,20,16.327598
-5,20,16.518591
-10.0,3,16.543611
-10.0,8,16.620066
-5,20,16.822459
-5,20,17.012502
-5,20,17.219567
-10.0,2,17.235432
-10.0,18,17.404231
-5,20,17.590549
-10.0,6,17.647907
-5,20,17.842197
-10.0,1,17.848785
-10.0,4,17.884153
-10.0,9,17.974791
-5,20,18.167745
-5,20,18.367379
-5,20,18.569149
-10.0,5,18.617928
-10.0,8,18.695035
-10.0,11,18.801529
-10.0,18,18.974624
-10.0,6,19.034693
-10.0,6,19.088783
-10.0,7,19.153254
-5,20,19.348103
-10.0,5,19.395082
-10.0,9,19.482001
-10.0,6,19.542545
-10.0,13,19.663445
-10.0,8,19.746583
-5,20,19.941913
-5,20,20.136176
-10.0,15,20.292142
-5,20,20.49777
-10.0,14,20.627456
-5,20,20.832122
18.0,3,20.865884
-10.0,1,20.872632
-5,20,21.08109
-10.0,5,21.124537
-10.0,5,21.17666
-5,20,21.374653
-10.0,2,21.389196
-5,20,21.583499
-10.0,5,21.625676
-10.0,9,21.715728
-10.0,4,21.752309
-10.0,8,21.826962
-10.0,2,21.849656
-10.0,3,21.878167
-10.0,20,22.077108
-10.0,3,22.110501
-5,20,22.315634
-10.0,19,22.500919
-10.0,9,22.599413
-10.0,20,22.791853
-10.0,18,22.969623
-10.0,17,23.12623
-10.0,12,23.250121
-5,20,23.45168
-5,20,23.646639
-10.0,10,23.743309
-5,20,23.945804
-10.0,2,23.96202
-10.0,4,24.006633
-10.0,16,24.159024
-10.0,19,24.343509
-10.0,6,24.404151
-10.0,4,24.446643
-10.0,20,24.639587
