#{"t_start": 1669379028.0724063, "env_id": null}
r,l,t
-5,20,51.610303
-10.0,6,65.947263
,20,15.375116
-10.0,10,15.377219
-5,20,15.381198
-5,20,15.385135
-5,20,15.607019
-10.0,5,15.636894
-5,20,15.641251
-5,20,15.64591
-5,20,15.650015
-5,20,15.749411
-5,20,15.753548
-5,20,15.757406
-5,20,15.761217
-5,20,15.765317
-5,20,15.800333
-5,20,15.804369
-10.0,18,15.807827
-5,20,15.811694
-10.0,2,15.822566
-5,20,15.826516
-5,20,15.830326
-10.0,4,15.831176
-5,20,15.835041
-5,20,15.838916
-10.0,12,15.84127
-5,20,15.84508
-5,20,15.848945
-10.0,14,15.851643
-5,20,15.855654
-5,20,15.859643
-5,20,15.863574
-5,20,15.888329
-10.0,20,15.892176
-5,20,15.896057
-5,20,15.899921
-5,20,15.903808
-5,20,15.907651
-5,20,16.017497
-5,20,16.021536
-5,20,16.025382
-10.0,4,16.02624
-5,20,16.030118
-5,20,16.03398
-5,20,16.037807
-10.0,11,16.039951
-5,20,16.118464
-5,20,16.122591
-10.0,1,16.122888
-5,20,16.126723
-5,20,16.130518
-10.0,8,16.132141
-5,20,16.135942
-5,20,16.139781
-5,20,16.143607
-5,20,16.147455
-5,20,16.151346
-5,20,16.262122
-5,20,16.291969
-10.0,2,16.292454
-5,20,16.296217
-5,20,16.300005
-5,20,16.303744
-5,20,16.307543
-5,20,16.311322
-5,20,16.315083
-5,20,16.318926
-5,20,16.322707
-5,20,16.326658
-5,20,16.330418
-10.0,9,16.332204
-10.0,18,16.335606
-10.0,16,16.338626
-5,20,16.342409
-5,20,16.34619
-10.0,5,16.347213
-5,20,16.350959
-10.0,9,16.352759
-5,20,16.356586
-5,20,16.360418
-5,20,16.3642
-5,20,16.368017
-5,20,16.371792
-5,20,16.375635
-5,20,16.379409
-5,20,16.383246
-5,20,16.492329
-10.0,5,16.503768
-5,20,16.507667
-10.0,5,16.508692
-5,20,16.512453
-5,20,16.516239
-5,20,16.521067
-10.0,8,16.522654
-5,20,16.52659
-5,20,16.530362
-10.0,11,16.532483
-5,20,16.536268
-5,20,16.540012
-5,20,16.544653
-5,20,16.548466
-10.0,13,16.618328
-5,20,16.622185
-5,20,16.625983
-5,20,16.629733
-5,20,16.633512
-10.0,2,16.633987
-5,20,16.637752
-5,20,16.641506
-5,20,16.645287
-10.0,1,16.645569
-5,20,16.649446
-5,20,16.653212
-10.0,8,16.654775
-10.0,2,16.655244
-5,20,16.659041
-10.0,15,16.661897
-5,20,16.665688
-10.0,9,16.66743
-5,20,16.671164
-10.0,1,16.676727
-5,20,16.680688
-5,20,16.684454
-5,20,16.688277
-5,20,16.692024
17.0,4,16.692865
-5,20,16.696663
-5,20,16.700454
-5,20,16.704208
-5,20,16.708005
-5,20,16.711751
-5,20,16.715532
-5,20,16.745135
-5,20,16.749229
-5,20,16.752975
-5,20,16.756749
-5,20,16.760504
-5,20,16.764298
-10.0,1,16.764584
-5,20,16.76832
-5,20,16.772105
-10.0,5,16.778522
-5,20,16.782345
-5,20,16.786118
-10.0,18,16.789501
-10.0,2,16.799979
-5,20,16.803801
-10.0,10,16.805784
-5,20,16.809515
-5,20,16.813297
-5,20,16.817052
-5,20,16.820819
-10.0,7,16.822235
-5,20,16.856526
-5,20,16.860435
-5,20,16.864307
-5,20,16.868083
-5,20,16.871842
-5,20,16.875626
-5,20,16.879587
-5,20,16.883378
-5,20,16.887089
-5,20,16.890901
8.0,13,16.893372
-5,20,16.897158
-5,20,16.90087
-5,20,16.904605
-5,20,16.908367
-5,20,16.912484
-5,20,16.916316
-5,20,16.920173
-5,20,16.924018
-5,20,16.92781
-5,20,16.931633
-5,20,16.935431
-5,20,16.939255
-10.0,5,16.940282
-5,20,16.94943
-5,20,16.95342
-5,20,16.957254
-5,20,16.961052
-5,20,16.964871
-10.0,15,17.013923
-10.0,12,17.016336
-10.0,8,17.017926
-5,20,17.021732
-5,20,17.025503
-10.0,2,17.025977
-10.0,1,17.031288
-5,20,17.035164
-5,20,17.038926
-5,20,17.073558
-10.0,1,17.078851
-5,20,17.082723
-5,20,17.086483
-5,20,17.090291
-5,20,17.094041
-5,20,17.09784
-5,20,17.208781
-5,20,17.213355
-5,20,17.217642
-5,20,17.221571
-5,20,17.22533
-5,20,17.229125
-5,20,17.233102
-5,20,17.236947
-5,20,17.240694
-5,20,17.244475
-10.0,1,17.24987
-5,20,17.25371
-5,20,17.257521
-5,20,17.261327
-5,20,17.265146
-10.0,14,17.267825
-5,20,17.271652
-10.0,8,17.314384
-10.0,8,17.316051
-10.0,19,17.319835
-5,20,17.323627
-5,20,17.327405
-10.0,5,17.353955
-10.0,5,17.381186
-5,20,17.385049
-5,20,17.38884
-5,20,17.393139
-5,20,17.397015
-5,20,17.400773
-5,20,17.404577
-5,20,17.408343
-5,20,17.412127
-5,20,17.41591
-5,20,17.419858
-5,20,17.423709
-10.0,5,17.424761
-5,20,17.428486
-5,20,17.432296
-10.0,2,17.432804
-5,20,17.436563
-10.0,8,17.438206
-5,20,17.441941
-5,20,17.44579
-5,20,17.449647
-5,20,17.453463
-5,20,17.457233
-10.0,5,17.458284
-5,20,17.462106
-5,20,17.465983
-10.0,18,17.469395
-5,20,17.473219
-5,20,17.477001
-5,20,17.480777
-5,20,17.484559
-5,20,17.488312
-5,20,17.492078
-5,20,17.495812
-5,20,17.499578
-5,20,17.503304
-5,20,17.507052
-5,20,17.510781
-5,20,17.514548
-5,20,17.518265
-10.0,20,17.624647
-10.0,5,17.625772
-5,20,17.629544
-5,20,17.633336
-5,20,17.637095
-5,20,17.640867
-10.0,19,17.644428
-5,20,17.648205
-5,20,17.651999
-5,20,17.655762
-5,20,17.659597
-5,20,17.663364
-10.0,6,17.664578
-5,20,17.668381
-5,20,17.672138
-10.0,16,17.675211
-10.0,19,17.678796
-5,20,17.682601
-5,20,17.686545
-5,20,17.690326
-5,20,17.694135
-5,20,17.806075
-5,20,17.809988
-5,20,17.885761
-10.0,1,17.886081
-5,20,17.940839
-5,20,17.94483
-5,20,17.94859
-5,20,17.95238
-5,20,17.956127
-5,20,17.959915
-5,20,17.963648
-10.0,2,17.964187
-5,20,17.967935
-5,20,17.971722
-5,20,17.975656
-5,20,17.979493
-5,20,17.983235
-5,20,17.988057
-5,20,18.072186
-5,20,18.181999
-10.0,6,18.213727
-5,20,18.21761
-5,20,18.221432
-10.0,14,18.224115
-5,20,18.227884
-5,20,18.23169
-5,20,18.235481
-5,20,18.239429
-10.0,10,18.241436
-5,20,18.245214
-5,20,18.249004
-5,20,18.252754
-5,20,18.256505
-10.0,17,18.346957
-5,20,18.350859
-5,20,18.354648
-5,20,18.358464
-5,20,18.362403
-5,20,18.366241
-10.0,9,18.368012
-5,20,18.371802
-5,20,18.461982
-5,20,18.465992
-10.0,7,18.467401
-5,20,18.471207
-5,20,18.474991
-5,20,18.478784
-5,20,18.482568
-10.0,4,18.483415
-5,20,18.588581
-5,20,18.592469
-5,20,18.596269
-5,20,18.600063
-10.0,4,18.600917
-10.0,12,18.60324
-5,20,18.607019
-5,20,18.610806
-5,20,18.614588
-5,20,18.618533
-10.0,5,18.619574
11.0,10,18.621537
-5,20,18.625342
-5,20,18.629125
-10.0,14,18.695519
-5,20,18.699571
-5,20,18.703475
-5,20,18.707366
-5,20,18.711259
-5,20,18.715182
-5,20,18.719323
-5,20,18.723264
-10.0,14,18.726086
-5,20,18.735874
-5,20,18.739846
-5,20,18.743726
-5,20,18.747685
-5,20,18.751562
-5,20,18.755401
-5,20,18.759388
-5,20,18.763399
-5,20,18.767309
-5,20,18.882514
-5,20,18.886802
-5,20,18.890884
-5,20,18.895054
-10.0,4,18.912724
-10.0,15,18.91721
-5,20,18.921591
-5,20,18.957231
-10.0,10,18.959258
-5,20,18.963123
-5,20,18.967137
-5,20,18.971108
-10.0,20,18.975118
-5,20,18.978902
-10.0,16,18.982144
-5,20,18.985961
-5,20,18.989969
-5,20,18.993778
-5,20,19.103147
-5,20,19.107306
-5,20,19.111306
20.0,1,19.111594
-5,20,19.115597
-5,20,19.119393
-5,20,19.123385
-5,20,19.127169
-5,20,19.131174
-5,20,19.135051
-5,20,19.139168
-10.0,2,19.139661
-5,20,19.143511
-5,20,19.147542
-5,20,19.151374
-5,20,19.155383
-10.0,14,19.158089
-5,20,19.162131
-5,20,19.166968
-5,20,19.17081
-5,20,19.17464
-5,20,19.178456
-5,20,19.182254
-5,20,19.186082
-5,20,19.189899
-5,20,19.193714
-5,20,19.19766
-5,20,19.201614
-5,20,19.205462
-5,20,19.209479
-5,20,19.213331
-5,20,19.217135
-5,20,19.220933
-5,20,19.224808
-5,20,19.228796
-5,20,19.339803
-5,20,19.34407
-5,20,19.348168
-10.0,2,19.348717
-5,20,19.352656
-10.0,18,19.356188
-5,20,19.360247
-5,20,19.364249
-5,20,19.368283
-10.0,7,19.406271
-5,20,19.410215
-5,20,19.414061
-5,20,19.417892
-10.0,11,19.476508
-10.0,4,19.482622
-10.0,9,19.484425
-5,20,19.48824
-5,20,19.492032
-5,20,19.600963
-5,20,19.604864
-5,20,19.716489
-5,20,19.720551
-5,20,19.72459
-5,20,19.836668
-5,20,19.840991
-5,20,19.845043
-5,20,19.848895
-5,20,19.85301
-10.0,14,19.855753
-5,20,19.859797
-5,20,19.86373
-5,20,19.867877
-5,20,19.871881
-5,20,19.875783
-5,20,19.879825
-10.0,4,19.902516
-10.0,11,19.904772
-10.0,18,19.908468
-5,20,19.912381
-5,20,19.916612
-10.0,9,19.951471
-5,20,19.955563
-5,20,19.95949
-5,20,19.963453
8.0,13,19.966506
-5,20,19.976063
4.0,17,19.979512
-10.0,20,19.983652
-5,20,19.987525
-5,20,19.99158
-5,20,19.995488
-5,20,19.999582
-5,20,20.003612
-10.0,4,20.004532
-5,20,20.00843
-5,20,20.012623
-5,20,20.01654
-5,20,20.020682
11.0,10,20.022713
-5,20,20.026791
-5,20,20.030764
-5,20,20.034813
-5,20,20.065778
-5,20,20.069882
-5,20,20.074224
-5,20,20.078423
-5,20,20.082558
-5,20,20.0865
-5,20,20.091087
-5,20,20.095678
-5,20,20.099764
-10.0,17,20.197144
8.0,13,20.199945
-5,20,20.203888
-5,20,20.207969
-5,20,20.314295
-5,20,20.318525
-5,20,20.322426
-5,20,20.428933
-5,20,20.43306
-5,20,20.437236
-10.0,5,20.438327
-5,20,20.442213
-5,20,20.446766
-10.0,6,20.44833
-5,20,20.452189
-5,20,20.456549
-5,20,20.460431
-5,20,20.464349
-5,20,20.468447
-5,20,20.472698
-5,20,20.476573
-5,20,20.48044
-10.0,19,20.484415
-5,20,20.488264
-5,20,20.492173
-5,20,20.496247
-10.0,8,20.497982
-5,20,20.501839
-5,20,20.505754
-5,20,20.613306
-5,20,20.617421
-5,20,20.621488
-5,20,20.625503
-5,20,20.629536
-5,20,20.633494
-5,20,20.658862
-5,20,20.662887
-10.0,15,20.665925
-5,20,20.669938
-5,20,20.674033
-5,20,20.67807
-5,20,20.682004
-5,20,20.685909
-5,20,20.689781
-5,20,20.693676
-5,20,20.697584
-5,20,20.701447
-5,20,20.705384
-5,20,20.709249
-5,20,20.713342
-10.0,6,20.714675
-5,20,20.718573
-5,20,20.722624
-5,20,20.726643
-5,20,20.730613
-5,20,20.734627
-5,20,20.738576
-5,20,20.742641
-5,20,20.825814
-5,20,20.82972
-5,20,20.833576
-10.0,1,20.839081
-5,20,20.842967
-5,20,20.846788
-5,20,20.850597
-5,20,20.854403
-5,20,20.858222
-10.0,1,20.863758
-10.0,1,20.86411
-5,20,20.86795
-5,20,20.871772
-10.0,13,20.874305
-5,20,20.878178
-5,20,20.882164
-5,20,21.035971
-5,20,21.048567
-5,20,21.060327
-10.0,18,21.068962
-5,20,21.075632
-5,20,21.081148
-5,20,21.085949
-10.0,20,21.090259
-5,20,21.129481
-10.0,3,21.130313
-5,20,21.134199
-5,20,21.138162
-5,20,21.141928
-10.0,5,21.168958
-10.0,2,21.169545
-10.0,4,21.170394
-5,20,21.174191
-5,20,21.177949
-5,20,21.181732
-5,20,21.185527
-5,20,21.189321
-5,20,21.193026
-5,20,21.196723
-5,20,21.200466
-10.0,1,21.20597
-5,20,21.209787
-5,20,21.213596
-5,20,21.217419
-10.0,3,21.218124
-5,20,21.222378
-5,20,21.228719
-5,20,21.234339
-5,20,21.240091
-10.0,4,21.241518
-5,20,21.2458
-5,20,21.2505
-5,20,21.254577
-5,20,21.258731
-5,20,21.263543
-5,20,21.268728
-5,20,21.273865
-5,20,21.278024
-5,20,21.281962
-5,20,21.285919
-5,20,21.289969
-5,20,21.330735
-5,20,21.334602
-5,20,21.338586
-10.0,14,21.341303
-5,20,21.34511
-5,20,21.348922
-5,20,21.352719
-5,20,21.35651
-5,20,21.360293
-10.0,6,21.361516
-5,20,21.365302
-5,20,21.413063
-5,20,21.417019
-10.0,12,21.41937
-5,20,21.42328
-5,20,21.42718
-10.0,4,21.449818
-10.0,1,21.450271
-10.0,5,21.451572
-5,20,21.456307
-10.0,16,21.45947
-5,20,21.526712
-5,20,21.530814
-10.0,18,21.534301
-10.0,19,21.537969
-5,20,21.541796
-5,20,21.545601
-5,20,21.549399
-10.0,20,21.553377
-5,20,21.557267
-5,20,21.561173
-10.0,2,21.572414
-5,20,21.576698
-5,20,21.580558
-5,20,21.584408
-5,20,21.588237
-5,20,21.697423
-5,20,21.701422
-5,20,21.705246
-10.0,6,21.70648
-5,20,21.710312
-10.0,1,21.710609
-5,20,21.714451
-5,20,21.71826
-5,20,21.829301
-5,20,21.833571
-5,20,21.837425
-10.0,18,21.840921
-5,20,21.844745
-5,20,21.848607
-5,20,21.852514
-5,20,21.956521
-10.0,8,21.958186
-5,20,21.962016
-10.0,11,21.964164
-5,20,21.96812
-5,20,21.971936
-5,20,21.975726
-5,20,21.979523
-5,20,21.983327
-5,20,21.987128
-5,20,21.990922
-5,20,21.994724
-10.0,1,21.995014
-5,20,21.998823
-5,20,22.110235
-5,20,22.114211
-10.0,18,22.117665
-5,20,22.121474
-5,20,22.125277
-5,20,22.129066
-5,20,22.132844
-5,20,22.136731
-5,20,22.140547
-5,20,22.250802
-5,20,22.254785
-5,20,22.258585
-5,20,22.262395
-10.0,9,22.264173
-5,20,22.267965
-5,20,22.292093
-5,20,22.295907
-5,20,22.299683
-5,20,22.303636
-10.0,7,22.305045
-10.0,11,22.307187
-5,20,22.310991
-5,20,22.31478
-5,20,22.318586
-5,20,22.322378
-5,20,22.432654
-10.0,17,22.436196
-5,20,22.440218
-5,20,22.444676
-5,20,22.448515
-10.0,19,22.452141
-5,20,22.455948
-5,20,22.45979
-5,20,22.463623
-5,20,22.467457
-10.0,9,22.518799
-5,20,22.523173
-10.0,3,22.523901
-5,20,22.528458
-5,20,22.534583
-10.0,9,22.537304
-5,20,22.543228
-5,20,22.547516
-5,20,22.551785
-5,20,22.556431
-5,20,22.560808
-5,20,22.56504
-5,20,22.569705
-5,20,22.573558
-5,20,22.578251
-5,20,22.58287
-5,20,22.586761
-5,20,22.705878
-5,20,22.710052
-5,20,22.714138
-10.0,9,22.716015
-10.0,14,22.718938
-5,20,22.722904
-5,20,22.726989
-5,20,22.730903
-5,20,22.735018
-5,20,22.739051
-5,20,22.743232
-5,20,22.747277
-5,20,22.861324
-5,20,22.865573
-5,20,22.869559
-5,20,22.873492
-5,20,22.877409
-5,20,22.881387
-5,20,22.885267
-5,20,22.88936
-5,20,22.89325
-5,20,22.897157
-5,20,22.90106
-5,20,22.904954
-10.0,10,22.906988
-10.0,5,22.908074
-5,20,22.912019
-10.0,19,22.915824
-5,20,22.919758
-5,20,22.923736
-5,20,23.003666
-5,20,23.007677
-5,20,23.011607
-5,20,23.015457
-5,20,23.019323
-5,20,23.023186
-10.0,1,23.023523
-5,20,23.027372
-5,20,23.036715
-5,20,23.040603
-5,20,23.044458
-5,20,23.134697
-5,20,23.138925
-10.0,12,23.157844
-5,20,23.276648
-5,20,23.281069
-5,20,23.285628
-10.0,18,23.289568
-10.0,8,23.329425
-5,20,23.333324
-5,20,23.33714
-5,20,23.341096
-5,20,23.344882
-5,20,23.453536
-5,20,23.457484
-5,20,23.482007
-5,20,23.485844
-5,20,23.489616
-5,20,23.49339
-5,20,23.497324
-5,20,23.501101
-5,20,23.504853
-10.0,9,23.506619
-5,20,23.510396
-5,20,23.514167
-10.0,4,23.535712
-10.0,16,23.619289
-5,20,23.623322
-5,20,23.627107
-5,20,23.630877
-5,20,23.634656
-10.0,8,23.636238
-5,20,23.640013
-5,20,23.643793
-5,20,23.647577
-5,20,23.651373
-10.0,12,23.654433
-5,20,23.658246
-5,20,23.687873
-5,20,23.691854
-5,20,23.695655
-5,20,23.699454
-5,20,23.703246
-5,20,23.707047
-5,20,23.710845
-10.0,10,23.712797
-5,20,23.716585
-5,20,23.720381
