#{"t_start": 1669216680.5227418, "env_id": null}
r,l,t
-10.0,6,153.412052
-10.0,3,306.207494
-5,20,652.503144
-5,20,1023.829223
16.0,5,1401.504613
16.0,5,1781.747898
17.0,4,2164.160682
18.0,3,2544.23878
16.0,5,2926.317812
16.0,5,3307.046515
20.0,1,3688.855174
19.0,2,4070.089359
19.0,2,4456.60002
15.0,6,4838.706246
19.0,2,5217.297243
18.0,3,5597.615534
16.0,5,5978.291802
15.0,6,6360.000328
16.0,5,6741.721724
17.0,4,7128.275988
,2.612807
-10.0,14,2.697858
13.0,8,2.750132
-10.0,4,2.773777
-10.0,10,2.832453
-10.0,19,2.945617
-10.0,20,3.061988
-5,20,3.18424
-10.0,5,3.213314
-5,20,3.335383
-10.0,10,3.395514
-10.0,10,3.453548
16.0,5,3.488273
16.0,5,3.525245
-10.0,15,3.614402
-10.0,10,3.671986
17.0,4,3.70071
16.0,5,3.735465
-10.0,13,3.814356
-10.0,1,3.820296
-10.0,12,3.88963
9.0,12,3.964604
-10.0,1,3.970457
-10.0,2,3.982034
8.0,13,4.062941
-10.0,13,4.150609
-10.0,1,4.156459
-10.0,5,4.185215
-10.0,9,4.236988
-10.0,5,4.266051
18.0,3,4.289059
-10.0,1,4.294865
13.0,8,4.346821
-10.0,18,4.450985
-5,20,4.572644
-10.0,2,4.584274
20.0,1,4.595633
15.0,6,4.635874
-10.0,1,4.641735
-10.0,2,4.653383
14.0,7,4.699419
-10.0,9,4.754925
-10.0,5,4.784675
-10.0,15,4.873049
-5,20,4.996565
-10.0,2,5.0084
10.0,11,5.078962
-10.0,13,5.155676
-10.0,2,5.167441
-10.0,1,5.173362
-10.0,5,5.202827
-10.0,1,5.208762
-5,20,5.332339
17.0,4,5.361749
-5,20,5.485296
-10.0,7,5.526593
-10.0,6,5.561834
-10.0,4,5.58547
10.0,11,5.656052
-10.0,15,5.744291
-5,20,5.868003
19.0,2,5.885576
-10.0,3,5.903262
-10.0,4,5.926959
-5,20,6.050241
-10.0,1,6.056241
-10.0,5,6.085899
-10.0,4,6.109268
-10.0,1,6.115085
12.0,9,6.172976
-5,20,6.294353
-10.0,5,6.323557
-10.0,11,6.387058
-10.0,1,6.392881
-10.0,17,6.491472
-5,20,6.613344
-10.0,11,6.677819
-10.0,6,6.712798
-10.0,6,6.751041
-10.0,20,6.869606
-10.0,13,6.945827
-10.0,1,6.951767
-5,20,7.075457
