#{"t_start": 1669489949.0932534, "env_id": null}
r,l,t
8.490476,40,405.185369
-8.983333,50,810.075696
-9.178571,50,1218.368577
-8.830952,50,1622.356333
28.590476,21,2028.558905
26.509524,23,2435.742694
-21.333333,50,2843.747898
29.502381,19,3266.262173
25.230952,24,3689.179705
29.690476,20,4116.395468
14.416667,34,4540.612577
26.280952,23,4965.894571
34.52619,15,5393.231967
34.359524,15,5817.905136
45.316667,5,6249.733242
41.980952,8,6682.152441
38.67381,11,7116.082015
44.630952,6,7545.738392
23.109524,24,7974.220191
37.164286,13,8405.771781
.737353
-11.930952,10,4.810705
-12.9,12,4.898085
-10.0,1,4.899793
-13.080952,16,5.025646
-11.307143,4,5.054476
-11.361905,8,5.117749
-14.247619,50,5.477085
-12.278571,9,5.541376
-10.0,1,5.548429
39.833333,10,5.625596
-11.514286,10,5.698895
-10.395238,2,5.71359
-10.197619,2,5.727981
-10.245238,2,5.742555
-15.171429,30,5.960443
-13.114286,15,6.074496
-10.297619,2,6.088803
-10.0,1,6.090423
-12.592857,12,6.179703
-12.154762,9,6.245521
-11.219048,5,6.281808
-10.409524,2,6.302221
-11.721429,7,6.341468
-12.442857,15,6.450933
-12.738095,21,6.603759
-13.397619,13,6.679223
-10.25,2,6.698982
-10.0,1,6.706224
-10.921429,4,6.711854
-12.192857,11,6.793081
-14.02619,26,6.97706
-11.797619,8,7.022725
-10.645238,3,7.04393
-11.688095,6,7.058042
-11.147619,5,7.082355
-10.0,1,7.08383
50.0,1,7.096638
-10.778571,3,7.123374
-12.82381,15,7.2072
-12.95,22,7.35173
-10.830952,4,7.368788
-11.330952,5,7.404415
-12.180952,7,7.45942
-11.5,11,7.537149
-10.0,1,7.544368
-10.759524,7,7.594266
-11.228571,6,7.636555
-10.0,1,7.643818
-12.730952,8,7.67196
-11.504762,7,7.721555
-11.778571,11,7.801636
-10.0,1,7.808799
-10.266667,2,7.817345
-10.347619,3,7.844131
-10.754762,3,7.870968
-10.545238,3,7.892089
-15.745238,27,8.090909
-10.692857,4,8.124954
-12.319048,12,8.189795
-10.433333,2,8.203953
-13.764286,19,8.338292
-12.304762,8,8.400897
-11.397619,7,8.450427
-11.545238,6,8.464476
-10.511905,3,8.491409
-12.990476,18,8.628213
-11.383333,5,8.65834
-13.909524,14,8.712375
-11.02381,5,8.753522
-10.0,1,8.754972
-12.747619,17,8.876108
-10.0,1,8.883332
-10.0,1,8.88487
-14.909524,16,8.94734
-11.552381,10,9.020091
-10.0,1,9.033301
-10.752381,4,9.050664
-10.490476,3,9.060778
-17.128571,48,9.399391
-10.0,1,9.400894
-10.0,1,9.408132
-11.314286,9,9.472927
-10.0,1,9.486035
-12.204762,12,9.566425
-10.47619,2,9.569421
-10.0,1,9.570894
-11.733333,12,9.656636
-13.180952,24,9.822472
-11.145238,4,9.850868
-10.683333,6,9.894132
-10.0,1,9.901452
-11.609524,6,9.950278
-10.0,1,9.963219
-10.67619,5,10.004694
-10.37619,2,10.013402
-11.102381,4,10.036457
-10.742857,4,10.065165
-10.502381,3,10.086169
-10.0,1,10.093409
-10.27619,2,10.107916
-14.378571,22,10.264529
-10.0,1,10.271605
-10.380952,2,10.285691
-10.0,1,10.287156
-10.980952,5,10.323281
-10.0,1,10.324756
-12.214286,12,10.404293
-11.157143,4,10.40989
-12.452381,10,10.481309
-10.0,1,10.482793
-11.695238,6,10.531483
-10.952381,4,10.565764
-10.0,1,10.572794
-11.538095,6,10.615793
-11.083333,7,10.665869
-10.0,1,10.678791
-11.635714,6,10.69874
-11.05,5,10.734543
-11.947619,8,10.792224
-12.559524,18,10.926997
-12.419048,12,11.014449
-11.157143,50,11.371569
-12.878571,17,11.470144
-14.654762,24,11.630389
-10.37381,3,11.651671
-10.583333,3,11.655897
-11.507143,10,11.727223
-12.454762,10,11.79331
-14.664286,14,11.876632
-10.769048,4,11.91129
-10.0,1,11.924172
-13.790476,23,12.059538
-13.22619,25,12.232704
-10.0,1,12.234179
-14.461905,22,12.397313
-11.552381,8,12.46082
-10.345238,2,12.475208
-10.0,1,12.482547
-10.809524,3,12.486771
-12.72619,10,12.523888
-10.321429,2,12.543985
-12.069048,15,12.65144
-10.747619,3,12.673191
-10.297619,2,12.687641
-10.0,1,12.700674
-10.0,1,12.702138
-10.404762,2,12.722285
-10.490476,3,12.743963
-10.0,1,12.75123
-13.221429,11,12.783895
-10.621429,4,12.812396
-12.4,7,12.822128
-11.571429,12,12.902409
-15.861905,30,13.116468
-12.22381,19,13.252527
-10.0,1,13.254001
-10.283333,2,13.268385
-10.790476,7,13.318581
-11.221429,6,13.35032
-11.154762,6,13.392937
-10.530952,3,13.408752
-12.095238,14,13.513409
-11.578571,9,13.578558
-10.402381,2,13.581396
-10.309524,2,13.595798
-10.62381,4,13.625545
-11.209524,4,13.654312
-10.430952,3,13.675813
-12.154762,15,13.788402
-10.309524,2,13.802713
47.742857,3,13.833481
-10.433333,2,13.842175
-13.9,16,13.915938
-11.6,7,13.965393
-14.438095,28,14.174453
-14.378571,26,14.363761
-15.17619,24,14.534566
-10.55,3,14.556195
-12.397619,14,14.650282
-12.209524,13,14.742751
-11.428571,5,14.76144
-10.87381,3,14.782854
-10.683333,6,14.825631
-14.754762,26,14.995565
-14.133333,22,15.161679
-11.457143,6,15.204209
-10.3,2,15.207045
-10.797619,4,15.235762
-11.619048,10,15.301163
-10.0,1,15.313898
-10.52381,3,15.340839
-13.128571,13,15.432862
-12.766667,17,15.557379
-10.938095,6,15.600252
-11.495238,5,15.635654
-12.32619,13,15.728544
-12.683333,15,15.835263
-10.297619,2,15.849565
-12.02381,8,15.889429
-16.480952,31,16.093077
-11.990476,12,16.178799
-10.0,1,16.186035
-10.27619,2,16.200379
-10.592857,4,16.223278
-11.252381,6,16.243198
-12.321429,18,16.373734
-10.357143,2,16.388038
-13.685714,19,16.524642
-11.233333,6,16.573749
-13.357143,17,16.695168
-10.32381,2,16.698221
-10.0,1,16.705537
-10.357143,2,16.719926
-10.597619,4,16.754332
-11.411905,5,16.790597
-13.402381,16,19.138088
-13.671429,17,19.244354
-14.42619,22,19.374633
-14.790476,21,19.510904
-16.069048,23,19.651948
-10.652381,3,19.668866
-11.504762,8,19.732112
-10.304762,2,19.746548
-11.77619,9,19.819512
-11.238095,5,19.827152
-10.680952,3,19.854997
-16.55,32,20.091102
-10.961905,5,20.133273
-12.414286,13,20.231017
-12.535714,10,20.308876
-17.559524,38,20.576478
-10.0,1,20.589592
-10.914286,5,20.620412
-13.307143,23,20.790179
-12.390476,9,20.849898
-10.666667,4,20.884571
-17.283333,28,21.018512
-10.0,1,21.020063
-11.233333,9,21.088583
-13.388095,16,21.210453
-10.0,1,21.212008
-10.333333,2,21.226268
-11.35,7,21.280386
-12.735714,10,21.341556
-10.8,4,21.370413
-12.464286,10,21.448611
-11.2,6,21.478787
-10.792857,4,21.513859
-13.085714,20,21.658709
-15.535714,30,21.891396
-11.185714,7,21.947505
-20.72619,50,22.268843
-11.090476,5,22.312173
-10.77381,3,22.333459
-13.042857,15,22.447064
-11.614286,10,22.50839
-11.338095,7,22.547545
-11.609524,8,22.600147
-11.442857,6,22.644019
-10.0,1,22.65168
-11.709524,8,22.714635
-13.371429,15,22.7997
-18.933333,37,23.023488
-13.080952,18,23.159226
-14.22619,15,23.250419
-10.235714,2,23.264791
-11.690476,11,23.349527
-11.75,6,23.392711
-10.704762,3,23.40883
-10.0,1,23.416125
-14.659524,27,23.594695
-10.72619,3,23.604958
-12.404762,10,23.648804
-10.928571,5,23.667895
-13.430952,16,23.772845
-12.97619,11,23.829672
-12.614286,14,23.913852
-13.895238,26,24.102599
-10.52619,3,24.123902
-10.395238,2,24.126873
-12.197619,8,24.184878
-11.85,9,24.255436
-13.854762,17,24.360747
-13.292857,17,24.484062
-10.0,1,24.497155
-11.142857,5,24.53277
-10.67381,3,24.54899
-12.17619,15,24.644388
-13.061905,14,24.773472
-11.559524,7,24.824603
-12.059524,9,24.889645
-12.980952,13,24.983281
-11.395238,8,25.041313
-10.488095,3,25.068902
-15.616667,28,25.2372
-10.566667,4,25.266103
-10.0,1,25.273388
-15.92619,28,25.441737
-11.614286,10,25.513869
-10.247619,2,25.528425
-12.45,12,25.60383
-10.0,1,25.617039
-14.095238,17,25.746197
-10.0,1,25.759223
-10.0,1,25.772142
-11.807143,9,25.826052
-14.464286,19,25.94084
-10.0,1,25.942346
-10.27381,2,25.962833
-13.095238,16,26.072573
30.957143,17,26.195107
-10.409524,2,26.198127
-11.095238,4,26.227048
-10.859524,7,26.277513
-10.745238,3,26.28197
-12.497619,13,26.364019
-13.085714,12,26.456451
-12.804762,11,26.535505
-14.416667,21,26.681846
-10.447619,3,26.703537
-13.292857,12,26.761572
-11.147619,4,26.790491
-13.771429,11,26.874487
-11.595238,7,26.907921
-11.795238,7,26.964329
-12.766667,17,27.086529
-12.019048,21,27.231727
-16.333333,39,27.502336
-11.930952,7,27.553299
-10.0,1,27.560408
-13.366667,14,27.633097
-10.578571,3,27.649147
-10.37381,2,27.66343
-13.52381,17,27.786431
-16.661905,32,27.995751
-10.0,1,27.997256
-10.730952,3,28.01341
-10.464286,2,28.016335
-12.561905,9,28.041006
42.083333,8,28.104501
-11.62619,7,28.14397
-14.207143,23,28.304663
-12.37381,12,28.339424
-10.0,1,28.352524
-11.338095,10,28.430304
-10.0,1,28.437587
-10.0,1,28.450608
-10.0,1,28.45795
36.021429,13,28.557728
-11.652381,8,28.615691
-10.292857,2,28.618611
-10.77619,3,28.640162
-10.0,1,28.65342
-12.669048,19,28.79628
-10.430952,3,28.824104
-10.364286,2,28.844424
-10.671429,3,28.86635
-18.380952,31,29.038403
-12.940476,15,29.112569
-11.230952,50,29.479513
-10.516667,3,29.501713
-10.0,1,29.509166
-10.740476,3,29.530753
-11.783333,8,29.588563
-11.916667,14,29.689228
-10.814286,3,29.705267
-10.37619,2,29.71978
-12.797619,15,29.833955
-10.82381,4,29.868619
-15.183333,21,30.014931
-10.0,1,30.027983
-10.37619,2,30.042652
-13.390476,18,30.172771
-14.645238,21,30.302145
-11.57381,9,30.350123
-12.27619,8,30.407665
-12.738095,14,30.486408
-11.6,8,30.544419
-10.67381,4,30.579588
-10.0,1,30.586964
-17.207143,41,30.890039
41.357143,9,30.960808
-12.128571,18,31.096292
-12.92619,13,31.179222
-10.82619,4,31.21419
-13.783333,20,31.358829
-11.052381,5,31.383677
-13.097619,20,31.523
-12.897619,15,31.638072
-10.416667,2,31.641155
-13.685714,16,31.756846
-10.72381,3,31.778748
-11.790476,7,31.829703
-12.542857,16,31.939842
-10.557143,3,31.961843
-15.842857,25,32.090735
-12.257143,15,32.204408
-11.433333,4,32.210182
-11.12619,8,32.273903
-10.228571,2,32.288477
-11.202381,7,32.327716
-10.797619,8,32.385678
-10.0,1,32.39885
-11.433333,6,32.441894
-10.904762,5,32.48389
-15.85,24,32.606131
-10.409524,2,32.609185
-11.185714,5,32.64527
-11.5,8,32.703032
-11.002381,7,32.75398
-10.797619,4,32.788807
-10.0,1,32.79615
-12.866667,50,35.090442
-12.914286,13,35.183928
-13.578571,16,35.305171
-10.0,1,35.312563
-11.8,8,35.370641
